rel,dataset_key,doc_category,sub_category,flood_event,doc_type,year,source_format,quality,responsible_dept,doc_nature,location,flood_magnitude,skip_reason,duplicate_of,sha256
01-核心文档-四案/01-防洪抢险应急预案.pdf,ds1,规程预案,防洪抢险应急预案.pdf,,文本,,pdf,medium,,法规,,不适用,,,3f0beff6d3b411a01fa7e4ba36254bea4b0f645104a778829f8189b388c102d5
01-核心文档-四案/02-调度规程.pdf,ds1,规程预案,调度规程.pdf,,文本,,pdf,medium,,法规,,不适用,,,af76ec1c575c1fa2f24296d84c2c636756fdf41f88a5837d5dbad0bc65d2a669
01-核心文档-四案/03-汛期调度运用计划.pdf,ds1,规程预案,汛期调度运用计划.pdf,,文本,,pdf,medium,,法规,,不适用,,,7b5ecff62f16810fd79a369f9c066b5c0b38ef5a57d1f0db722e81a3008696fb
01-核心文档-四案/04-大坝安全管理应急预案.pdf,ds1,规程预案,大坝安全管理应急预案.pdf,,文本,,pdf,medium,,法规,,不适用,,,1d0b458fece2e5660dcfebf5499d31eef8c7e443f3349ffaedd1dafdd7c376c6
02-安全鉴定与评价/01-大坝安全鉴定报告书-2020.pdf,ds5,工程资料,大坝安全鉴定报告书-2020.pdf,,文本,2020,pdf,medium,,技术,,不适用,,,3433df5a68774603401e8dc70e88a60c27697574031261701e6da722d7b2132e
02-安全鉴定与评价/02-桃曲坡水库大坝安全鉴定.pdf,ds5,工程资料,桃曲坡水库大坝安全鉴定.pdf,,文本,,pdf,medium,,技术,,不适用,,,4aa060e11bc3f379429b6fe299407697f2fc46a780d2f0cfc37330c6c93891a3
02-安全鉴定与评价/03-桃曲坡等三座大坝安全评价报告.pdf,ds5,工程资料,桃曲坡等三座大坝安全评价报告.pdf,,文本,,pdf,medium,,技术,,不适用,,,e37256f98916bbdea52d1430a1909059a773172f0ef122bec9bec20a61579b1b
03-施工图纸与设计/01-加闸竣工图/加闸竣工图5.pdf,ds5,工程资料,加闸竣工图,,图纸,,pdf,medium,,技术,,不适用,,,bd3ee917cdacffe03fd1708e329c51621bf7cd44bcb92afa11345ea3ae056037
03-施工图纸与设计/01-加闸竣工图/加闸竣工图6.pdf,ds5,工程资料,加闸竣工图,,图纸,,pdf,medium,,技术,,不适用,,,be06cc79bcf21c74fea41ec26aecb02a873aa6fa062d5ff2295f48897f333cd7
03-施工图纸与设计/01-加闸竣工图/加闸竣工图7.pdf,ds5,工程资料,加闸竣工图,,图纸,,pdf,medium,,技术,,不适用,,,3712289095c1d28828ee5421fc01e3a417acc97ecb5fb50e2954e38fe5f6d66c
03-施工图纸与设计/01-加闸竣工图/加闸竣工图8.pdf,ds5,工程资料,加闸竣工图,,图纸,,pdf,medium,,技术,,不适用,,,8c2ba2d7ab0cea4b15df1ab6352933c904f8b11924e3a155b986d1e74567b020
03-施工图纸与设计/01-加闸竣工图/加闸竣工图9.pdf,ds5,工程资料,加闸竣工图,,图纸,,pdf,medium,,技术,,不适用,,,85437a849e9ad55c4c8c0d20eb3f7032f9efef5372de76cdf1eede55aa573dc2
03-施工图纸与设计/02-施工图修改意见/安全设施建设工程施工图纸审查意见.pdf,ds5,工程资料,施工图修改意见,,图纸,,pdf,medium,,技术,,不适用,,,2ff4c1c02e063314bb99fe04bd548dbdda19d7d3f268edfa6baa19b8e98d1fbc
03-施工图纸与设计/02-施工图修改意见/安全设施建设工程施工图纸（修改意见）.pdf,ds5,工程资料,施工图修改意见,,图纸,,pdf,medium,,技术,,不适用,,,1636af8cb195551e94318b84d52f9229f17fd5defff52212d8bf2efe621beead
03-施工图纸与设计/02-施工图修改意见/数字孪生工程施工图册（修改意见）.pdf,ds5,工程资料,施工图修改意见,,图纸,,pdf,medium,,技术,,不适用,,,73ad37ae1fbeaf886309780f80a724f98b2d16aa0c63dae3340bd3e46c42cab0
03-施工图纸与设计/02-施工图修改意见/数字孪生项目施工图纸审查意见.pdf,ds5,工程资料,施工图修改意见,,图纸,,pdf,medium,,技术,,不适用,,,8f1d87c5cff5990f06b58c1ce14ea8cbc371d973512fb0912e54c2c2a6ed4dc7
03-施工图纸与设计/03-数字孪生工程.pdf,ds5,工程资料,数字孪生工程.pdf,,图纸,,pdf,medium,,技术,,不适用,,,ba8579f6ccf86e3a01782a3860856abc6542eedd3bee77d54b46e98139016211
03-施工图纸与设计/04-安全设施建设工程.pdf,ds5,工程资料,安全设施建设工程.pdf,,图纸,,pdf,medium,,技术,,不适用,,,199d391c9062688b5098138b9e60da689c8b2bd24cc9b94145d74a17896031a2
03-施工图纸与设计/05-数字孪生项目建设方案.docx,ds5,工程资料,数字孪生项目建设方案.docx,,图纸,,word,high,,技术,,不适用,,,9a85559793e872f15276738069f004ddf4be635d7c2958a2858bc77d5a558de5
04-确权划界/01-划界报告.pdf,ds2,基础数据,划界报告.pdf,,文本,,pdf,medium,,技术,,不适用,,,735ac308acc519e987461488aeff150e7adfe9ddf7750b6249676511179ba5ac
06-历年洪水资料/01-水情通报/水情通报第161期.pdf,ds3,洪水资料,水情通报,,文本,,pdf,medium,,技术,,不适用,,,c947f1180b1c0f91d049149f8be9c0010ac4e5d6c0dcb4fd569ad7acea67abec
06-历年洪水资料/01-水情通报/汛情专报_20211006.pdf,ds3,洪水资料,水情通报,,文本,2021,pdf,medium,,技术,,不适用,,,5180657cce56afe0caf826538c75c32b455620c8afafd0847c0a54166b7c9de6
