rel,category,title_hint,date_hint,handwriting,confidence,error
2021年10月/1FE9C75DE9E0F1E806858ED2D655582F.png,文件扫描件,调度信息（汉江中下游水雨情形势）,2021-10-05,True,0.98,
2021年10月/5A0287D37E85D7FB440B9FD1C7267218.png,文件扫描件,汛（旱）情通报,2021年10月5日,True,0.95,
2021年10月/微信图片_20211008163147.jpg,图表图纸,水库出入库水量过程线（万m3）,2014/9—2017/7,False,0.95,
2021年10月/微信图片_20211009162302.jpg,现场照片,石板铺装路面,2021/09/28,False,0.97,
2021年10月/微信图片_20211009162305.jpg,现场照片,水库护坡石砌现场,2021/09/28,True,0.97,
2021年10月/微信图片_20211026090153.jpg,现场照片,疑似水库或水利设施现场检查,2021.09.01 11:01,False,0.95,
2021年10月/微信图片_202110260901531.jpg,现场照片,,2021.09.01,False,0.95,
2021年10月/微信图片_2021102609015310.jpg,现场照片,水库放水涵洞或进水口现场,,False,0.95,
2021年10月/微信图片_2021102609015311.jpg,现场照片,,,False,0.95,
2021年10月/微信图片_2021102609015312.jpg,现场照片,涵洞内排水作业现场,,False,0.95,
2021年10月/微信图片_2021102609015313.jpg,现场照片,,,False,0.95,
2021年10月/微信图片_2021102609015314.jpg,现场照片,桥墩下方河道清淤或检查作业现场,,False,0.95,
2021年10月/微信图片_2021102609015315.jpg,现场照片,,,False,0.97,
2021年10月/微信图片_2021102609015316.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_2021102609015317.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_202110260901532.jpg,现场照片,高边坡排水沟清理,2021-09-02,False,0.98,
2021年10月/微信图片_202110260901533.jpg,现场照片,高架桥下的河流及小型拦河坝,,False,0.97,
2021年10月/微信图片_202110260901534.jpg,现场照片,,,True,0.98,
2021年10月/微信图片_202110260901535.jpg,现场照片,现场检查/调研活动,,False,0.95,
2021年10月/微信图片_202110260901536.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_202110260901537.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_202110260901538.jpg,现场照片,桥梁施工现场及河流涨水实景,,False,0.97,
2021年10月/微信图片_202110260901539.jpg,现场照片,水库岸边水位标尺实景,,False,0.95,
2021年10月/微信图片_20211026090154.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_202110260901541.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_2021102609015410.jpg,现场照片,,2021/09/18 09:19,False,0.98,
2021年10月/微信图片_2021102609015411.jpg,现场照片,,2021/09/18,False,0.98,
2021年10月/微信图片_2021102609015412.jpg,现场照片,疑似水库泄洪或溢洪现场，可见混浊水流冲刷坝体,,False,0.95,
2021年10月/微信图片_2021102609015413.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_2021102609015414.jpg,现场照片,洪水过境的桥梁及河流实景,,False,0.98,
2021年10月/微信图片_2021102609015415.jpg,现场照片,洪水过境河道实景,,False,0.95,
2021年10月/微信图片_2021102609015416.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_2021102609015417.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_2021102609015418.jpg,现场照片,,2021/09/18,True,0.97,
2021年10月/微信图片_2021102609015419.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_202110260901542.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_202110260901543.jpg,现场照片,,,False,0.97,
2021年10月/微信图片_202110260901544.jpg,现场照片,水库输水隧洞（涵洞）内部实景,,False,0.97,
2021年10月/微信图片_202110260901545.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_202110260901546.jpg,现场照片,隧洞内部检查,,False,0.95,
2021年10月/微信图片_202110260901547.jpg,现场照片,水库或输水建筑物内部隧洞实景,,False,0.97,
2021年10月/微信图片_202110260901548.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_202110260901549.jpg,现场照片,,,False,0.95,
2021年10月/微信图片_20211026090155.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_2021102609015510.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_2021102609015511.jpg,现场照片,,,False,0.98,
2021年10月/微信图片_2021102609015512.jpg,现场照片,保护水源地 守护生命线,,False,0.95,
2021年10月/微信图片_2021102609015513.jpg,现场照片,雨中视察或检查场景,,False,0.98,
2021年10月/微信图片_2021102609015514.jpg,现场照片,,2021/09/24,False,0.99,
2021年10月/微信图片_2021102609015515.jpg,现场照片,排水沟渠及周边环境,2021/09/24 17:56,False,0.98,
2021年10月/微信图片_202110260901552.jpg,现场照片,,,False,0.99,
2021年10月/微信图片_202110260901553.jpg,现场照片,松枝中的鸟（疑似红腹啄木鸟）,,False,0.95,
2021年10月/微信图片_202110260901554.jpg,现场照片,,,False,0.95,
2021年10月/微信图片_202110260901555.jpg,现场照片,,,False,0.97,
2021年10月/微信图片_202110260901556.jpg,现场照片,人员攀爬松树作业,,False,0.95,
